method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
Chroma SVD,oy_eval_repair_q0007,specific_policy_search,일자리,창업,1,5,10,150.41639999253675,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0009,eligibility,일자리,취업,1,6,10,91.48869995260611,0.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.5,0.0,1.0,1.0,1.0,0.5
Chroma SVD,oy_eval_repair_q0012,application_period,일자리,취업,1,6,10,81.81449997937307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_repair_q0021,application_method,일자리,창업,1,4,10,88.29699998022988,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0024,specific_policy_search,일자리,취업,1,5,10,92.18250005505979,0.0,0.0,1.0,1.0,0.2,0.2,0.2,0.0,0.0,1.0,1.0,0.2
Chroma SVD,oy_eval_repair_q0027,application_method,일자리,창업,1,6,10,102.76949999388307,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0030,support_content,일자리,취업,1,4,10,101.65250004502013,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0032,application_method,일자리,취업,1,5,10,97.07370004616678,0.0,1.0,1.0,1.0,0.4,0.6,0.5,0.0,1.0,1.0,1.0,0.5
Chroma SVD,oy_eval_repair_q0033,application_period,일자리,창업,1,6,10,95.1028999988921,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_repair_q0034,specific_policy_search,일자리,취업,1,4,10,92.78809995157644,0.0,1.0,1.0,1.0,0.25,0.25,0.5,0.0,1.0,1.0,1.0,0.5
