method,query_count,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr,latency_ms
BM25,47,0.702128,0.787234,0.829787,0.914894,0.344504,0.437234,0.763501,0.702128,0.787234,0.829787,0.914894,0.763501,3.511468
Char TF-IDF,47,0.723404,0.829787,0.87234,0.93617,0.373936,0.456586,0.783038,0.723404,0.829787,0.87234,0.93617,0.783038,3.267155
Hybrid RRF,47,0.680851,0.851064,0.93617,0.93617,0.385638,0.475177,0.774468,0.680851,0.851064,0.93617,0.93617,0.774468,9.670296
