method,query_count,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr,latency_ms
BM25,47,0.702128,0.808511,0.851064,0.957447,0.478605,0.590012,0.768693,0.702128,0.808511,0.851064,0.957447,0.768693,2.007583
Char TF-IDF,47,0.680851,0.829787,0.914894,0.93617,0.516135,0.584102,0.769858,0.680851,0.829787,0.914894,0.93617,0.769858,2.289615
Hybrid RRF,47,0.702128,0.829787,0.914894,0.957447,0.51052,0.603605,0.781206,0.702128,0.829787,0.914894,0.957447,0.781206,4.746543
