field,raw_value,count
plcyKywdNm,"바우처,맞춤형상담서비스,보조금",1
plcyKywdNm,"해외진출,맞춤형상담서비스,교육지원",1
plcyKywdNm,"주거지원,보조금,청년가장",1
plcyKywdNm,"육아,출산,청년가장,보조금,맞춤형상담서비스",1
plcyKywdNm,"청년가장,보조금,바우처,맞춤형상담서비스",1
plcyKywdNm,"교육지원,주거지원,중소기업,벤처",1
plcyKywdNm,"교육지원,중소기업,벤처,인턴",1
plcyKywdNm,"출산,보조금,육아",1
plcyKywdNm,"바우처,주거지원",1
plcyKywdNm,"대출,교육지원",1
plcyKywdNm,"중소기업,장기미취업청년,교육지원,인턴",1
plcyKywdNm,"중소기업,장기미취업청년,인턴",1
plcyKywdNm,"장기미취업청년,맞춤형상담서비스,교육지원",1
plcyKywdNm,"주거지원,보조금,육아,출산",1
plcyKywdNm,"벤처,중소기업,대출",1
plcyKywdNm,"교육지원,장기미취업청년,보조금",1
plcyKywdNm,"인턴,교육지원,장기미취업청년,맞춤형상담서비스",1
plcyKywdNm,"맞춤형상담서비스,인턴,장기미취업청년",1
plcyKywdNm,"맞춤형상담서비스,해외진출,인턴,장기미취업청년,중소기업,교육지원",1
plcyKywdNm,"대출,신용회복",1
plcyKywdNm,"청년가장,보조금,주거지원",1
plcyKywdNm,"중소기업,장기미취업청년,벤처",1
plcyKywdNm,"장기미취업청년,벤처,중소기업",1
plcyKywdNm,"교육지원,벤처,인턴",1
plcyKywdNm,"보조금,인턴,교육지원",1
plcyKywdNm,"맞춤형상담서비스,출산,육아",1
plcyKywdNm,"대출,주거지원",1
plcyKywdNm,"중소기업,바우처,벤처",1
plcyKywdNm,"벤처,맞춤형상담서비스,청년가장,장기미취업청년,중소기업,교육지원,인턴",1
plcyKywdNm,"주거지원,청년가장",1
plcyKywdNm,"해외진출,주거지원,인턴",1
plcyKywdNm,"육아,출산,교육지원",1
plcyKywdNm,"대출,주거지원,금리혜택",1
plcyKywdNm,"인턴,교육지원,장기미취업청년",1
plcyKywdNm,"주거지원,대출,보조금",1
plcyKywdNm,"맞춤형상담서비스,교육지원,인턴,중소기업",1
plcyKywdNm,"맞춤형상담서비스,교육지원,장기미취업청년",1
plcyKywdNm,"중소기업,인턴,보조금,장기미취업청년",1
plcyKywdNm,"교육지원,맞춤형상담서비스,보조금,장기미취업청년",1
plcyKywdNm,"교육지원,대출",1
plcyKywdNm,"중소기업,교육지원,벤처",1
plcyKywdNm,"벤처,중소기업,금리혜택",1
plcyKywdNm,"장기미취업청년,중소기업",1
plcyKywdNm,"장기미취업청년,맞춤형상담서비스,중소기업",1
plcyKywdNm,"중소기업,주거지원",1
plcyKywdNm,"주거지원,중소기업",1
plcyKywdNm,"보조금,출산,육아",1
plcyKywdNm,"인턴,장기미취업청년,중소기업",1
plcyKywdNm,"주거지원,바우처",1
plcyKywdNm,"금리혜택,장기미취업청년",1
plcyKywdNm,"보조금,청년가장",1
plcyKywdNm,"교육지원,맞춤형상담서비스,장기미취업청년",1
plcyKywdNm,"맞춤형상담서비스,교육지원,장기미취업청년,바우처",1
plcyKywdNm,"육아,맞춤형상담서비스",1
plcyKywdNm,"출산,바우처,육아",1
plcyKywdNm,"바우처,육아,출산",1
plcyKywdNm,"바우처,출산,육아",1
plcyKywdNm,"맞춤형상담서비스,장기미취업청년,교육지원,보조금",1
plcyKywdNm,"육아,보조금,출산",1
plcyKywdNm,"주거지원,금리혜택,대출",1
