method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
Chroma SVD,oy_eval_v2r_q0005,required_documents,일자리,재직자,1,17,10,69.71419998444617,0.0,0.0,1.0,1.0,0.058823529411764705,0.058823529411764705,0.25,0.0,0.0,1.0,1.0,0.25
Chroma SVD,oy_eval_v2r_q0015,eligibility,일자리,창업,1,14,10,84.59939999738708,1.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0017,application_period,일자리,창업,1,12,10,72.68539996584877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_v2r_q0025,support_content,일자리,창업,1,16,10,76.11890003317967,0.0,1.0,1.0,1.0,0.125,0.125,0.5,0.0,1.0,1.0,1.0,0.5
Chroma SVD,oy_eval_v2r_q0026,eligibility,일자리,취업,1,14,10,69.63720003841445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_v2r_q0064,specific_policy_search,주거,기숙사,1,9,10,77.40509998984635,1.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0078,support_content,교육,온라인교육,1,15,10,76.44039997830987,1.0,1.0,1.0,1.0,0.13333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0086,specific_policy_search,참여권리,청년참여,1,18,10,82.87420001579449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_v2r_q0090,required_documents,참여권리,청년참여,1,15,10,79.15720000164583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroma SVD,oy_eval_v2r_q0094,application_period,참여권리,청년참여,1,14,10,73.65720003144816,1.0,1.0,1.0,1.0,0.14285714285714285,0.21428571428571427,1.0,1.0,1.0,1.0,1.0,1.0
Chroma SVD,oy_eval_v2r_q0098,application_method,참여권리,청년참여,1,12,10,91.92330000223592,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,1.0,1.0,1.0,1.0,1.0,1.0
