method,query_count,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr,latency_ms
BM25,47,0.702128,0.808511,0.851064,0.957447,0.599291,0.737082,0.770584,0.702128,0.808511,0.851064,0.957447,0.770584,2.232391
Char TF-IDF,47,0.659574,0.829787,0.93617,0.93617,0.651216,0.728217,0.763121,0.659574,0.829787,0.93617,0.93617,0.763121,2.526534
Hybrid RRF,47,0.680851,0.851064,0.914894,0.93617,0.648936,0.731763,0.777305,0.680851,0.851064,0.914894,0.93617,0.777305,6.125549
